field,time,pipe_height,level_piezoB,outlet_depth,outlet_mTAW,comment
CD,2022-04-01 00:00:00.000000,0.0,,-1.06,2.07,"5, 15 and 25 cm above the drainage pipes at the lowest point in the field, which is around B (drainage around 60cm depth). "
RD,2022-04-01 00:00:00.000000,0.0,,-1.17,1.85,
CD,2022-12-02 00:00:00.000000,0.0,,-1.06,2.07,"5, 15 and 25 cm above the drainage pipes at the lowest point in the field, which is around B (drainage around 60cm depth). "
CD,2022-12-02 00:00:00.000000,0.05,-0.55,-1.0100000000000002,2.1199999999999997,
ND,2023-01-01 00:00:00.000000,0.0,,-1.0899999999999999,1.85,
CD,2023-03-08 00:00:00.000000,0.05,-0.55,-1.0100000000000002,2.1199999999999997,
CD,2023-03-08 00:00:00.000000,0.15,-0.45,-0.9100000000000001,2.2199999999999998,
RD,2023-05-17 00:00:00.000000,0.0,,-1.17,1.85,
RD,2023-05-17 00:00:00.000000,0.15,,-1.02,2.0,"DIY with flexible, 15 cm boven drains"
RD,2023-08-28 00:00:00.000000,0.15,,-1.02,2.0,"DIY with flexible, 15 cm boven drains"
RD,2023-08-28 00:00:00.000000,0.0,,-1.17,1.85,"collector drain installed in RD field, top moerbuis is 1.94 so -0.1 for drainage outlet"
CD,2023-12-20 00:00:00.000000,0.15,-0.45,-0.9100000000000001,2.2199999999999998,
CD,2023-12-20 00:00:00.000000,0.0,-0.6,-1.06,2.07,
CD,2024-01-25 00:00:00.000000,0.0,-0.6,-1.06,2.07,
CD,2024-01-25 00:00:00.000000,0.15,-0.45,-0.9100000000000001,2.2199999999999998,
RD,2024-02-15 00:00:00.000000,0.0,,-1.17,1.85,"collector drain installed in RD field, top moerbuis is 1.94 so -0.1 for drainage outlet"
RD,2024-02-15 00:00:00.000000,0.15,,-1.02,2.0,middle pipe
CD,2024-11-18 14:55:51.357570,0.15,-0.45,-0.9100000000000001,2.2199999999999998,
RD,2024-11-18 14:55:51.357597,0.15,,-1.02,2.0,middle pipe
ND,2024-11-18 14:55:51.357602,0.0,,-1.0899999999999999,1.85,
