time,threshdepths,name,spacing
2022-07-06,,CD1,2
2022-08-02,,CD1,2
2022-08-17,,CD1,2
2022-10-06,,CD1,2
2022-11-04,,CD1,2
2022-12-01,,CD1,2
2023-01-19,,CD1,2
2023-02-08,,CD1,2
2023-03-08,,CD1,2
2023-04-16,,CD1,2
2023-05-17,,CD1,2
2023-06-07,,CD1,2
2023-07-03,,CD1,2
2023-08-02,,CD1,2
2023-09-06,,CD1,2
2023-10-04,,CD1,2
2023-11-14,,CD1,2
2023-12-13,,CD1,2
2024-02-09,,CD1,2
2024-03-19,,CD1,2
2024-04-16,,CD1,2
2024-05-14,,CD1,2
2024-06-04,,CD1,2
2024-08-07,,CD1,2
2024-09-04,,CD1,2
2024-10-09,,CD1,2
2024-11-13,,CD1,2
2022-07-06,-1.4000000000000001,CD2,2
2022-08-02,-1.4000000000000001,CD2,2
2022-08-17,-1.479083094555874,CD2,2
2022-10-06,-1.620057306590258,CD2,2
2022-12-01,-1.513467048710602,CD2,2
2023-01-19,-1.7679083094555876,CD2,2
2023-02-08,-1.6338108882521492,CD2,2
2023-03-08,-1.602865329512894,CD2,2
2023-04-16,-1.6338108882521492,CD2,2
2023-05-17,-1.5994269340974212,CD2,2
2023-06-07,-1.7197707736389685,CD2,2
2023-07-03,-1.6063037249283667,CD2,2
2023-08-02,-1.4997134670487107,CD2,2
2023-09-06,-1.4068767908309456,CD2,2
2023-10-04,-1.417191977077364,CD2,2
2023-11-14,-1.6097421203438396,CD2,2
2023-12-13,-1.5065902578796562,CD2,2
2024-02-09,-1.651002865329513,CD2,2
2024-03-19,-1.4343839541547279,CD2,2
2024-04-16,-1.4275071633237824,CD2,2
2024-05-14,-1.4103151862464185,CD2,2
2024-06-04,-1.4000000000000001,CD2,2
2024-08-07,-1.4000000000000001,CD2,2
2024-09-04,-1.4000000000000001,CD2,2
2024-10-09,-1.4378223495702007,CD2,2
2024-11-13,-1.510028653295129,CD2,2
2022-07-06,-2.2170487106017194,CD3,2
2022-08-02,-2.2363896848137537,CD3,2
2022-08-17,-2.29054441260745,CD3,2
2022-10-06,-2.1783667621776504,CD3,2
2022-12-01,-1.9424068767908311,CD3,2
2023-01-19,-1.9578796561604586,CD3,2
2023-02-08,-1.9578796561604586,CD3,2
2023-03-08,-1.9540114613180517,CD3,2
2023-04-16,-1.9694842406876791,CD3,2
2023-05-17,-1.9501432664756448,CD3,2
2023-06-07,-1.9424068767908311,CD3,2
2023-07-03,-1.907593123209169,CD3,2
2023-08-02,-1.8998567335243552,CD3,2
2023-09-06,-1.8843839541547278,CD3,2
2023-10-04,-1.8379656160458453,CD3,2
2023-11-14,-1.9888252148997134,CD3,2
2023-12-13,-1.9501432664756448,CD3,2
2024-02-09,-1.9501432664756448,CD3,2
2024-03-19,-1.9269340974212035,CD3,2
2024-04-16,-1.9230659025787966,CD3,2
2024-05-14,-1.9385386819484243,CD3,2
2024-06-04,-1.9191977077363898,CD3,2
2024-08-07,-1.9308022922636103,CD3,2
2024-09-04,-1.915329512893983,CD3,2
2024-10-09,-1.9849570200573066,CD3,2
2024-11-13,-2.0275071633237824,CD3,2
2022-06-15,-1.9411174785100287,RD1,2
2022-07-06,-2.145702005730659,RD1,2
2022-08-02,-2.1697707736389686,RD1,2
2022-08-17,-2.2269340974212035,RD1,2
2022-10-06,-1.7184813753581663,RD1,2
2022-12-01,-2.106590257879656,RD1,2
2023-01-19,-1.986246418338109,RD1,2
2023-02-08,-1.902005730659026,RD1,2
2023-03-08,-1.8839541547277938,RD1,2
2023-04-16,-1.8989971346704873,RD1,2
2023-05-17,-1.8749283667621777,RD1,2
2023-06-07,-1.8839541547277938,RD1,2
2023-07-03,-1.889971346704871,RD1,2
2023-08-02,-1.8779369627507165,RD1,2
2023-09-06,-1.7335243553008597,RD1,2
2023-10-04,-1.7515759312320918,RD1,2
2023-11-14,-2.0584527220630373,RD1,2
2023-12-13,-2.1787965616045843,RD1,2
2024-02-09,-2.1998567335243555,RD1,2
2024-03-19,-2.2239255014326647,RD1,2
2024-04-16,-2.2600286532951293,RD1,2
2024-05-14,-2.2901146131805157,RD1,2
2024-06-04,-2.2209169054441262,RD1,2
2024-08-07,-2.0012893982808024,RD1,2
2024-09-04,,RD1,2
2024-10-09,-2.232951289398281,RD1,2
2024-11-13,-2.3773638968481374,RD1,2
2022-06-15,-2.3593123209169056,RD2,2
2022-07-06,-2.374355300859599,RD2,2
2022-08-02,-2.2359598853868197,RD2,2
2022-08-17,-2.2209169054441262,RD2,2
2022-10-06,-2.202865329512894,RD2,2
2022-11-04,-2.049426934097421,RD2,2
2022-12-01,-1.9922636103151863,RD2,2
2023-01-19,-2.1607449856733525,RD2,2
2023-02-08,-2.145702005730659,RD2,2
2023-03-08,-2.1426934097421206,RD2,2
2023-04-16,-2.1787965616045843,RD2,2
2023-05-17,-2.181805157593123,RD2,2
2023-06-07,-2.184813753581662,RD2,2
2023-07-03,-2.2239255014326647,RD2,2
2023-08-02,-2.2239255014326647,RD2,2
2023-09-06,-2.1396848137535818,RD2,2
2023-10-04,-2.0945558739255015,RD2,2
2023-11-14,-2.269054441260745,RD2,2
2023-12-13,-2.2209169054441262,RD2,2
2024-02-09,-2.2299426934097424,RD2,2
2024-03-19,-2.2810888252149,RD2,2
2024-04-16,-2.2871060171919773,RD2,2
2024-05-14,-2.2840974212034384,RD2,2
2024-06-04,-2.2871060171919773,RD2,2
2024-08-07,-2.1637535816618914,RD2,2
2024-09-04,-2.1306590257879656,RD2,2
2024-10-09,-2.1336676217765045,RD2,2
2024-11-13,-1.55,RD2,2
2022-06-15,,RD3,2
2022-07-06,,RD3,2
2022-08-02,,RD3,2
2022-08-17,,RD3,2
2022-10-06,,RD3,2
2022-11-04,,RD3,2
2022-12-01,,RD3,2
2023-01-19,,RD3,2
2023-02-08,,RD3,2
2023-03-08,,RD3,2
2023-04-16,,RD3,2
2023-05-17,,RD3,2
2023-06-07,,RD3,2
2023-07-03,,RD3,2
2023-08-02,,RD3,2
2023-09-06,,RD3,2
2023-10-04,,RD3,2
2023-11-14,,RD3,2
2023-12-13,,RD3,2
2024-02-09,,RD3,2
2024-03-19,,RD3,2
2024-04-16,,RD3,2
2024-05-14,,RD3,2
2024-06-04,,RD3,2
2024-08-07,,RD3,2
2024-09-04,,RD3,2
2024-10-09,,RD3,2
2024-11-13,,RD3,2
2023-03-08,-1.8650429799426935,ND1,2
2023-04-16,-2.255730659025788,ND1,2
2023-05-17,-2.2828080229226364,ND1,2
2023-06-07,-2.2750716332378222,ND1,2
2023-07-03,-2.2828080229226364,ND1,2
2023-08-02,-2.255730659025788,ND1,2
2023-09-06,-2.22865329512894,ND1,2
2023-10-04,-2.201575931232092,ND1,2
2023-11-14,-2.2441260744985674,ND1,2
2023-12-13,-2.278939828080229,ND1,2
2024-02-09,-2.2866762177650433,ND1,2
2024-03-19,-2.2866762177650433,ND1,2
2024-04-16,-2.3060171919770776,ND1,2
2024-05-14,-2.317621776504298,ND1,2
2024-06-04,-2.29054441260745,ND1,2
2024-08-07,-2.2363896848137537,ND1,2
2024-09-04,-2.1977077363896846,ND1,2
2024-10-09,-2.1706303724928366,ND1,2
2024-11-13,-2.193839541547278,ND1,2
2023-03-08,-2.131948424068768,ND2,2
2023-04-16,-1.5942693409742121,ND2,2
2023-05-17,-2.0855300859598853,ND2,2
2023-06-07,-2.108739255014327,ND2,2
2023-07-03,-2.093266475644699,ND2,2
2023-08-02,-2.0816618911174785,ND2,2
2023-09-06,-2.035243553008596,ND2,2
2023-10-04,-2.004297994269341,ND2,2
2023-11-14,-1.9578796561604586,ND2,2
2023-12-13,-2.035243553008596,ND2,2
2024-02-09,-2.0739255014326647,ND2,2
2024-03-19,-2.0739255014326647,ND2,2
2024-04-16,-1.7025787965616046,ND2,2
2024-05-14,-2.1242120343839543,ND2,2
2024-06-04,-2.10487106017192,ND2,2
2024-08-07,-1.598137535816619,ND2,2
2024-09-04,-1.6368194842406876,ND2,2
2024-10-09,-1.4975644699140402,ND2,2
2024-11-13,-1.5710601719197708,ND2,2
2023-03-08,,ND3,2
2023-04-16,-2.070057306590258,ND3,2
2023-05-17,-1.5478510028653296,ND3,2
2023-06-07,-1.5594555873925502,ND3,2
2023-07-03,-1.25,ND3,2
2023-08-02,-1.6020057306590259,ND3,2
2023-09-06,-1.5865329512893982,ND3,2
2023-10-04,-1.6058739255014327,ND3,2
2023-11-14,-1.4666189111747852,ND3,2
2023-12-13,-1.660028653295129,ND3,2
2024-02-09,-1.6638968481375358,ND3,2
2024-03-19,-1.7257879656160457,ND3,2
2024-04-16,-2.0971346704871063,ND3,2
2024-05-14,-1.6948424068767909,ND3,2
2024-06-04,-1.660028653295129,ND3,2
2024-08-07,-2.1435530085959886,ND3,2
2024-09-04,-2.159025787965616,ND3,2
2024-10-09,-2.0855300859598853,ND3,2
2024-11-13,-2.108739255014327,ND3,2
